1,ABLEIGES,mairie.ableiges95@wanadoo.fr
2,AINCOURT,mairie.aincourt@wanadoo.fr
3,AMBLEVILLE,mairie.ambleville@wanadoo.fr
4,AMENUCOURT,mairie.amenucourt@wanadoo.fr
5,ANDILLY,mairie.andilly@wanadoo.fr
6,ARGENTEUIL,christian.bournery@ville-argenteuil.fr
7,ARNOUVILLE LES GONESSE,webmaster@villedarnouville.com
8,ARRONVILLE,arronville@wanadoo.fr
9,ARTHIES,mairie-arthies-95@wanadoo.fr
10,ASNIERES SUR OISE,herve.pellin@ville-asnieres-sur-oise.fr
11,ATTAINVILLE,mairie@attainville.fr
12,AUVERS SUR OISE,communication@auvers-sur-oise.com
13,AVERNES,mairie.avernes@orange.fr
14,BAILLET EN FRANCE,info@baillet-en-france.fr
15,BANTHELU,mairie.banthelu@wanadoo.fr
16,BEAUCHAMP,accueil-mairie@ville-beauchamp.fr
17,BEAUMONT SUR OISE,beaumont.sg@wanadoo.fr
18,BELLEFONTAINE,mairiebellefontaine2@wanadoo.fr
19,BELLOY EN FRANCE,secretariat@mairie-belloy-en-france.fr
20,BERNES SUR OISE,mairiebernes@wanadoo.fr
21,BERVILLE,mairie.de.berville@wanadoo.fr
22,BESSANCOURT,melody.quesnel@ville-bessancourt.fr
23,BETHEMONT LA FORET,mairie.bethemont-laforet@wanadoo.fr
24,BEZONS,courrier@mairie-bezons.fr
25,BOISEMONT,commune.boisemont@wanadoo.fr
26,BOISSY L AILLERIE,mairie.boissy-laillerie@wanadoo.fr
27,BONNEUIL EN FRANCE,bonneuil-en-france95@orange.fr
28,BOUFFEMONT,info@ville-bouffemont.fr
29,BOUQUEVAL,mairiebouqueval@wanadoo.fr
30,BRAY ET LU,mairie.brayetlu@wanadoo.fr
31,BREANCON,mairie.breancon@wanadoo.fr
32,BRIGNANCOURT,brignancourt@wanadoo.fr
33,BRUYERES SUR OISE,mairie.bruyeres.sur.oise@wanadoo.fr
34,BUHY,mairie.buhy@wanadoo.fr
35,BUTRY SUR OISE,mairiedebutrysuroise@wanadoo.fr
36,CERGY,contact@ville-cergy.fr
37,CHAMPAGNE SUR OISE,cjacqueline@villedechampagne.fr 
38,CHARMONT,mairie.charmont@wanadoo.fr
39,CHARS,mairie.chars@wanadoo.fr
40,CHATENAY EN FRANCE,""
41,CHAUMONTEL,mairie.chaumontel@wanadoo.fr
42,CHAUSSY,mairie.chaussy@wanadoo.fr
43,CHAUVRY,mairie.de.chauvry@wanadoo.fr
44,CHENNEVIERES LES LOUVRES,mairie.chennevieres@wanadoo.fr
45,CHERENCE,mairie.cherence@wanadoo.fr
46,CLERY EN VEXIN,commune-de-clery@wanadoo.fr
47,COMMENY,mairiecommeny@wanadoo.fr
48,CONDECOURT,mairie.condecourt@wanadoo.fr
49,CORMEILLES EN PARISIS,contact@ville-cormeilles95.fr
50,CORMEILLES EN VEXIN,mairie-cormeillesenvexin@wanadoo.fr
51,COURCELLES SUR VIOSNE,mairie-courcellessurviosne95@wanadoo.fr
52,COURDIMANCHE,communication@ville-courdimanche.fr
53,DEUIL LA BARRE,accueil@mairie-deuillabarre.fr
54,DOMONT,mairiedomont@magic.fr
55,EAUBONNE,information@eaubonne.fr
56,ECOUEN,contact@ecouen.fr
57,ENGHIEN LES BAINS,direction.generale@enghien95.fr
58,ENNERY,mairie@ennery.fr
59,EPIAIS LES LOUVRES,mairieepiais-leslouvres@wanadoo.fr
60,EPIAIS RHUS,mairie.epiais-rhus@wanadoo.fr
61,EPINAY CHAMPLATREUX,mairie.ep.champlatreux@wanadoo.fr
62,ERAGNY SUR OISE,bureauetconseil@eragny.fr
63,ERMONT,mairie@ville-ermont.fr
64,EZANVILLE,secret.mairie@ezanville.fr
65,FONTENAY EN PARISIS,mairiefontenay@roissy-online.com
66,FOSSES,contact@ville-fosses95.fr
67,FRANCONVILLE,Communication@ville-franconville.fr
68,FREMAINVILLE,fremainville-mairie@wanadoo.fr
69,FREMECOURT,mairiefremecourt@orange.fr
70,FREPILLON,mairie@frepillon.fr
71,FROUVILLE,mairie-frouville95@wanadoo.fr
72,GADANCOURT,mairie-gadancourt@orange.fr
73,GARGES LES GONESSE,communication@villedegarges.com
74,GENAINVILLE,mairie-genainville@wanadoo.fr
75,GENICOURT,mairie.genicourt@wanadoo.fr
76,GONESSE,contact@villaeroport.org
77,GOUSSAINVILLE,maire@ville-goussainville.fr
78,GOUZANGREZ,mairiedegouzangrez@orange.fr
79,GRISY LES PLATRES,""
80,GROSLAY,assistante_du_maire@mairie-groslay.fr 
81,GUIRY EN VEXIN,mairie.guiry-en-vexin@wanadoo.fr
82,HARAVILLIERS,commune.haravilliers@orange.fr
83,HAUTE ISLE,mairie-hauteisle@wanadoo.fr
84,HEDOUVILLE,mairie-hedouville@wanadoo.fr
85,HERBLAY,mairie@herblay.fr
86,HEROUVILLE,mairie@herouville-en-vexin.net
87,HODENT,mairie.hodent@orange.fr
88,JAGNY SOUS BOIS,mairie.jagny-sous-bois@wanadoo.fr
89,JOUY LE MOUTIER,secretariatgeneral@jouylemoutier.fr
90,LABBEVILLE,mairie@labbeville.fr
91,LA CHAPELLE EN VEXIN,la-chapelle-en-vexin@wanadoo.fr
92,LA FRETTE SUR SEINE,mairie@ville-la-frette95.fr
93,LA ROCHE GUYON,mairie.larocheguyon@wanadoo.fr
94,LASSY,""
95,LE BELLAY EN VEXIN,mairie.bellay@wanadoo.fr
96,LE HEAULME,mairie.le.heaulme@cegetel.net
97,LE MESNIL AUBRY,mairie.mesnil-aubry@wanadoo.fr
98,LE PERCHAY,mairie.leperchay@wanadoo.fr
99,LE PLESSIS BOUCHARD,mairie@ville-le-plessis-bouchard.fr
100,LE PLESSIS GASSOT,le.plessis.gassot@wanadoo.fr
101,LE PLESSIS LUZARCHES,mairieplessisluzarches@orange.fr
102,LE THILLAY,p.bezillot@mairie-le-thillay.fr
103,L ISLE ADAM,m.martin@ville-isle-adam.fr
104,LIVILLIERS,mairie-de-livilliers@wanadoo.fr
105,LONGUESSE,mairie.longuesse@orange.fr
106,LOUVRES,communication@ville-louvres.fr
107,LUZARCHES,v.coquillard@luzarches.net
108,MAFFLIERS,mairie-maffliers@wanadoo.fr
109,MAGNY EN VEXIN,mairie@magny-en-vexin.fr
110,MAREIL EN FRANCE,mairie.mareil.france@wanadoo.fr
111,MARGENCY,info@mairie-margency.fr
112,MARINES,mairie.marines@wanadoo.fr
113,MARLY LA VILLE,""
114,MAUDETOUR EN VEXIN,mairie.maudetour@wanadoo.fr
115,MENOUVILLE,""
